id,assetFamily,priority,gapKind,existingQuantity,quantityUnit,missingQuantityEstimate,revisionQuantityEstimate,desiredNativeResolution,animationRequirement,pipelineApplicability,currentConsumer,mechanicsDependencies,estimationAssumptions,acceptance,existingAssetIds,evidenceSources,parentEvidence,codeEvidence,crossDisciplineNote
ART-11,Shared officers in battle,P2,optional-animation-gap,72,new shared animated officer sets (existing count is qualified stills),3,0,"64x64 at (32,56)","Start idle/rally-or-working response only, 2 e/w facings; frame budget follows actual consumer","{""Blender"": ""New marshal/surveyor/engineer rigs or deliberate source reuse with truthful provenance"", ""PixelFactory"": ""Supplied frames->Snapper->Aseprite tags; no automatic culture animation"", ""handReview"": ""Required equipment identity and genuine motion""}",Three existing culture officer types use static strategic sprites in battle; Waykeeper has a cast pilot separately,Explicit officer response/casualty presentation hooks; no new combat abilities for surveyor/engineer,"72 existing qualified stills remain; 3 new shared battle-role sets is a production proposal, not 72 missing rigs.",No procedural bob mislabeled as new motion; preserved support positioning and canonical events,[],"[""inventory.json"", ""art-report.md""]",,,
ART-12,Small resource/status/action icons,P2,native-lod-gap,72,new simplified UI icons,"{""starter"": 24, ""upperPlanning"": 40}",0,16/24/32px based on actual slot; non-square icons require export routing review,Static,"{""Blender"": ""Not a Blender task except concept reference"", ""PixelFactory"": ""Best fit deliberate pixel authorship/Aseprite; add 16/24 profiles if used; paf source/export alone does not validate"", ""handReview"": ""Required grayscale, text association, state/hover/accessibility contrast""}",UI has 72 heraldic assets and uses existing sprites/text elsewhere; no dedicated resource/status/action atlas family,Bind existing canonical statuses/actions; expand small-size profiles and DOM/Pixi asset routing as needed,"Starter 24 = 8 resource shorthand + 8 status shapes + 8 action shapes. Existing 72 are crests/badges/banners, not 24 missing current IDs.",Never replace legible DOM text with rasterized text or color-only status,[],"[""inventory.json"", ""art-report.md""]",,,
ART-13,Portrait/bust option for existing four character roles,P2,optional-presentation-extension,0,shared role busts,4,0,128x160 source; 64x80 thumbnail; current CLI square-profile selector needs extension,Static,"{""Blender"": ""Optional consistent proportion/lighting reference, not finished portrait pixels"", ""PixelFactory"": ""Aseprite supports custom dimensions but current game CLI does not yet route 128x160"", ""handReview"": ""Required face/native thumbnail/role identity review""}",Current four character archetypes use full-body figures; no dedicated portrait images,Dedicated portrait slot and non-square profile/binding; no new named character rules,"Four shared role busts first; 96 culture-role portraits would be a separate optional commission, not an automatic 1.0 requirement.",Faces and travel equipment readable without new lore or traced proprietary designs,[],"[""inventory.json"", ""art-report.md""]",,,
ART-14,Battle ground and siege presentation,P2,current-feature-native-gap,0,background/fortification pieces,"{""starter"": 8, ""upperPlanning"": 14}",0,64x64 ground repeats; 128x128 decorative wall/gate modules; keep scene native scale,Static,"{""Blender"": ""Best fit restrained masonry/earth source geometry or hand pixel patches"", ""PixelFactory"": ""Native tile clusters and explicit seams; no faux-pixel filter"", ""handReview"": ""Required unobtrusive backdrop and honest simulation footprint""}",Battle currently uses a quiet procedural fill/line texture and a simple siege-wall bar,"Ground/fortification graphics adapter; do not imply passable gates, obstacles or cover the rules do not simulate","Starter 8 = 5 land surface patches + 1 naval water patch + 2 siege stage modules. Decorative, not new tactical objects.",Clarify land/naval/siege identity while keeping soldiers and event targets dominant,[],"[""inventory.json"", ""art-report.md""]",,,
ART-15,Chronicle/menu/prosperity-victory visual polish,P2,optional-presentation-extension,3,illustrations,"{""starter"": 5, ""upperPlanning"": 8}",0,640x360 menu/victory; 384x216 chronicle plus 256x144 narrow variant,"Static, load on demand","{""Blender"": ""Optional original composition blockout"", ""PixelFactory"": ""Aseprite vignette-384 profile exists; CLI selector/non-square routing must be extended; paf only processes sources"", ""handReview"": ""Required responsive safe areas and historical truthfulness""}",Current menu/chronicles/prosperity result exist; 3 DOM material WebPs are not illustrations,Bind actual screens/events; no illustration for unimplemented victory paths yet,"Starter 5 = 1 menu + 1 current victory + 3 generic chronicle chapter vignettes; narrow alternatives are additional exports, not extra narrative events.",Preserve political/hearthland focus and readable DOM text; no exposed Ashfall explanation,[],"[""inventory.json"", ""art-report.md""]",,,
ART-16,Native strategic idle rollout,P2,optional-animation-gap,4,qualified near-map idle clips,"{""phaseOne"": 23, ""upperBeforeNewRoles"": 215}",0,Use existing 64/96 contracts and exact pivots,4 frames at 250 ms for se idle; no unconsumed movement/action states,"{""Blender"": ""Possible source/rig motion but preserve established culture bodies"", ""PixelFactory"": ""Native frame registration, Snapper/Aseprite clip metadata, hand temporal finish"", ""handReview"": ""Required foot lock/equipment/loop and live stopped/reduced-motion review""}",Near world renderer ticks idle; generic guard/scout/colonist and one qualified Ashen scout animate,No new mechanics; far and fogged views stay static; exclude still DOM heraldry and portraits,"Phase one: 23 other-culture scout idles; upper 215 = 24 cultures x 9 strategic unit roles minus existing 1 qualified scout, not all 431 static assets. Existing 4 includes 3 generic idle fallbacks.","Motion subtle and real; no universal floating bob, stable corpse/action logic irrelevant on map",[],"[""inventory.json"", ""art-report.md""]",,,
ART-17,Additional strategic facings and action families,P3,future-consumer-only,0,qualified direction/action sets,,0,Existing 64/96 native; six strategic directions only if movement-facing design is accepted,Scope only after map action playback/LOD requirements exist,"{""Blender"": ""New shared rig/facing adapter feasible, not implemented by stock shrine"", ""PixelFactory"": ""Aseprite supports supplied clips but does not generate them"", ""handReview"": ""Required per-facing asymmetry, screen-space light and motion-union checks""}",Current world playback is se idle; no movement/action playback consumer,"Presentation design+direction selection+animation budget, not new unit rules",Do not estimate 431 assets x all states. Select actual moving roles first; quantities depend on consumer and mirroring policy.,No unused animation commission masquerades as a current P1 hole,[],"[""inventory.json"", ""art-report.md""]",,,
ART-18,Culture-qualified battle animation sets,P3,optional-future-identity-expansion,13,qualified animated culture-role sets,312,0,Current 64/96 unless measured review justifies exception,"64 frames per set across 13 current roles x 24 cultures; 19,968 frames if fully commissioned","{""Blender"": ""New culture rigs/materials/equipment, not palette swaps or 13 shared originals mislabeled 312"", ""PixelFactory"": ""Controlled render and substantial deliberate pixel/temporal finishing"", ""handReview"": ""Very large review load; gate a single culture / role first""}",Current battle deliberately consumes 13 shared roles plus existing culture banners,New optional qualified battle identity routing; explicit residency/paging budget,"312 = 24 x 13 qualified sets; 13 shared sets remain fallbacks and are not subtracted as qualified culture originals. Future scope, not missing current binding.",Actual cultural silhouettes and native readability; preserve shared-mode fallback,[],"[""inventory.json"", ""art-report.md""]",,,
ART-19,"Reserved monsters, generic mage/commander and map sites",P3,existing-art-without-consumer,7,reserved static asset subjects,0,0,Current 64/96/128 native,Only scope additional clips if actual mechanical content is introduced,"{""Blender"": ""Useful creature/architecture authoring lane after canonical brief"", ""PixelFactory"": ""Native editable sources already retained; no new generation now"", ""handReview"": ""Not 1.0 approval; inspect when bound""}","Three monsters, unit.mage/unit.commander, map.resource/map.watchtower are not current live IDs","Canonical definition, actual observations/UI, rules/save/replay and LOD hooks first",7 reserved subjects listed; generic map.resource does not replace the 8 current canonical deposits. Extra effects / terrain reserved IDs are separately inventoried.,"Do not invent monsters, sites or whole magic systems just to consume art","[""monster.quarry_ogre"", ""monster.revenant"", ""monster.slateback"", ""unit.mage"", ""unit.commander"", ""map.resource"", ""map.watchtower""]","[""inventory.json"", ""art-report.md""]",,,
ART-20,"Future magic schools, rituals, weather and disasters",P3,future-mechanics-only,2,new visual effect families,,0,32/64/128px pooled pieces;256 px maximum localized baseline if actually required,States/timing defined by future canonical events,"{""Blender"": ""Good for geometry-based effect sources; not unlimited VFX authorship"", ""PixelFactory"": ""Aseprite / source pipeline handles supplied frames; no paf animation generator"", ""handReview"": ""Required lore/target legibility/alpha/perf review""}",Only current Cinder thread/Bound ward are live spell consumers; existing generic magic art is reserved,Canonical research/spells/rituals/weather/disaster rules first,No invented missing 14-schools-by-20-spells quota. Quantity TBD from accepted mechanics.,Art must not reveal the Ashfall cause or grant flight/tunneling/blood-magic mechanics,[],"[""inventory.json"", ""art-report.md""]",,,
AUD-01,Audio runtime and provenance contract,P1,missing-subsystem,0,audio pipeline,1,0,48 kHz / 24-bit WAV masters recommended; browser-encoded OGG/MP3/AAC as tested,Event-driven presentation; pause/skip/speed/reduced motion policies explicit,"{""Blender"": ""Not supported audio authoring"", ""PixelFactory"": ""Not supported audio authoring"", ""handReview"": ""Listening/mix/license QA required; separate DAW / Foley pipeline""}",No audio files or playback API found; existing UI/world/battle events are prospective sources,"User-gesture unlock; master/music/SFX/ambience buses, persistent mute/volume, bounded voices, load/error fallback, visibility policy",One new presentation subsystem. Current game is silent in code/inventory; not a failed listening test.,Audio never mutates simulation or reveals fog; battle crowds do not spawn one voice per soldier; keep all text cues,[],"[""inventory.json"", ""art-report.md""]",,,
AUD-02,UI feedback starter set,P1,missing-audio-assets,0,rendered one-shot files,10,0,"48 kHz masters, compressed runtime; mono / short stereo per cue","Short one-shots, no constant hover noise","{""Blender"": ""No"", ""PixelFactory"": ""No"", ""handReview"": ""Required tactile low-volume listening""}",Current menu/selection/confirm/cancel/error/tab/window/save/load/end turn UI,AUD-01 + actual UI bindings,"10 distinct cues, one clean variation each initially. Proposed queue not existing filenames.",Quiet wood/cloth/paper/metal; no loud game-show chimes; keyboard and touch behavior supported,[],"[""inventory.json"", ""art-report.md""]",,,
AUD-03,Campaign event Foley/notification starter set,P1,missing-audio-assets,0,rendered one-shot files,24,0,48 kHz masters; stream/cache tiny cues by event category,Two variations each for 12 cue families,"{""Blender"": ""No"", ""PixelFactory"": ""No"", ""handReview"": ""Required contextual listening and repeated-turn fatigue test""}","Current movement, paid construction, completion, recruitment, research, survey/refit, war/peace/siege and economy events",AUD-01; observed/local-player event filter; avoid opponent private-turn audio leaks,12 families x 2 variations. Event taxonomy must be reviewed before final filenames.,"Tactile, grounded sound with non-auditory equivalents; no implied new mechanics",[],"[""inventory.json"", ""art-report.md""]",,,
AUD-04,Battle role/effect Foley starter set,P1,missing-audio-assets,0,rendered one-shot files,48,0,48 kHz masters; mostly mono positional stems; restrained stereo magic,Three variants each for 16 material / action families,"{""Blender"": ""No audio output; rig markers may provide visual timing reference only"", ""PixelFactory"": ""No"", ""handReview"": ""Required transient/loop/tail/mix/clipping / headphones QA""}",Current melee/projectile/horse/hull/hit/death/rally/ember/ward battle events,"AUD-01; event timing mapped to presentation, cancellation on seek/pause and voice caps","16 reusable families x 3 variants; not 13 roles x 64 frames and not per-soldier notifications. Voices optional, not required.",Clear weapons/cloth/wood/water; combat weight without clipped transient pileups or state changes,[],"[""inventory.json"", ""art-report.md""]",,,
AUD-05,Biome/settlement ambience beds,P2,missing-audio-assets,0,loop masters/runtime beds,6,0,48 kHz stereo masters; phase/loop-safe compressed versions,Long quiet seamless loops/crossfades,"{""Blender"": ""No"", ""PixelFactory"": ""No"", ""handReview"": ""Required seam-free listening at low level""}",Current world/coast/settlement context; no ambience player exists,"AUD-01; only current known local context, visible-screen or selection-based mix","6 starter beds: settled hearth, open field, woodland, wetland, high cold, coast/sea. Not 24 culture anthems.","Inhabited, weathered world; avoid unrealized storm/weather cycle implication",[],"[""inventory.json"", ""art-report.md""]",,,
AUD-06,Original musical identity starter score,P1,missing-audio-assets,0,music compositions,5,0,48 kHz / 24-bit master+mixed runtime; optional stems separately scoped,"Menu, quiet campaign, tension campaign, battle, aftermath/current victory","{""Blender"": ""No"", ""PixelFactory"": ""No"", ""handReview"": ""Composer/listening/mastering and rights QA""}",Current menu/campaign/battle/chronicles/prosperity surfaces; no music code,AUD-01; state-aware crossfades and muting; no full orchestra assumption,"5 compositions; durations/stems commissioned after audition, not fabricated elapsed minutes. No external generative account is configured by these art factories.","Restrained modal/bowed/acoustic/wood / metal palette; world warmth and uncertainty, not constant cinematic triumph",[],"[""inventory.json"", ""art-report.md""]",,,
AUD-07,"Voice acting, faction chants and future magic audio",P3,future-content-only,0,voice/music/effect groups,,0,TBD by localization/voice scope,TBD,"{""Blender"": ""No"", ""PixelFactory"": ""No"", ""handReview"": ""Required casting/pronunciation/rights/localization and listening QA""}",No dedicated voice or new-magic consumer,"Approved script, languages/casting and real mechanics first",Not required just because 24 culture kits exist; no estimated dozens of voices without a script.,"Do not replace clear text, invent dialogue as history, or clone unlicensed performer voices",[],"[""inventory.json"", ""art-report.md""]",,,
